ID;x;y;C;N;E;S;W
697;492854.4201;7661048.268;23;23;23;12;12
698;492850.4092;7661098.796;24;24;29;29;29
699;492847.2936;7661148.408;21;23;22;23;23
700;492842.7385;7661200.825;25;22;47;25;86
701;492834.5634;7661246.531;23;23;24;23;12
702;492832.5853;7661298.098;23;22;22;22;23
703;492829.6147;7661349.912;41;24;31;41;41
704;492821.4465;7661396.552;31;31;31;31;31
705;492820.1877;7661447.847;12;23;12;24;23
706;492812.0053;7661497.82;22;23;22;22;22
707;492806.1522;7661547.822;89;89;30;22;89
708;492798.9624;7661595.017;23;23;23;22;23
709;492796.6166;7661646.9;22;22;24;23;22
710;492792.0024;7661697.285;23;23;23;23;23
711;492785.9731;7661747.248;23;75;23;22;23
712;492780.6625;7661799.439;22;24;24;24;24
713;492776.9262;7661849.011;12;23;12;12;23
714;492771.7265;7661897.083;22;24;24;24;22
715;492767.5482;7661947.762;25;25;24;24;22
716;492760.3659;7661998.189;12;22;22;22;22
717;492757.4504;7662044.556;22;22;22;75;24
718;492753.0383;7662095.205;22;22;22;22;22
719;492748.1837;7662147.111;24;24;24;24;24
720;492742.5149;7662197.86;12;24;75;12;12
721;492984.6322;7660262.685;27;27;27;27;27
722;492978.9173;7660311.189;75;75;27;23;27
723;492975.3055;7660361.594;22;27;25;22;23
724;492969.1981;7660412.909;27;22;22;22;22
725;492963.4531;7660461.854;23;22;25;22;30
726;492958.9516;7660508.728;22;25;24;71;24
727;492954.6091;7660561.17;81;23;23;75;81
728;492951.0348;7660609.905;23;22;22;23;22
729;492944.1203;7660661.054;25;22;27;27;27
730;492939.5032;7660710.323;31;80;89;31;24
731;492935.2226;7660758.891;12;12;12;29;29
732;492931.2594;7660809.278;12;24;24;31;12
733;492924.5712;7660857.792;24;24;24;24;24
734;492919.7251;7660908.947;24;23;22;24;25
735;492915.0795;7660957.451;87;85;23;87;87
736;492910.7526;7661004.855;22;12;22;23;23
737;492905.6201;7661055.691;24;24;24;24;24
738;492900.8086;7661107.116;22;12;23;12;24
739;492896.5419;7661156.949;24;24;23;24;22
740;492891.1715;7661206.044;22;23;22;23;24
741;492886.6363;7661256.105;24;24;24;24;24
742;492882.3128;7661305.979;23;22;23;23;23
743;492877.258;7661356.271;24;24;24;85;85
744;492873.448;7661405.566;80;80;80;83;80
745;492866.4088;7661456.958;23;23;24;24;23
746;492862.241;7661505.832;22;81;23;22;22
747;492855.9805;7661551.267;89;89;89;89;89
748;492854.4376;7661601.931;23;23;23;23;23
749;492847.4693;7661652.924;NA;NA;NA;NA;NA
750;492841.8694;7661706.086;25;23;23;31;22
751;492838.1235;7661756.274;24;23;24;24;22
752;492832.1596;7661803.388;24;24;24;24;24
753;492827.1722;7661854.22;22;22;23;24;23
754;492822.954;7661892.37;23;23;23;24;23
755;492817.5412;7661953.48;25;24;24;25;24
756;492813.4069;7662003.421;31;75;31;22;24
757;492808.1935;7662053.996;22;22;22;12;12
758;492803.4663;7662101.891;22;24;12;23;23
759;492797.7859;7662153.732;24;24;24;24;24
760;492792.6882;7662199.033;22;22;22;12;22
761;493034.3002;7660266.351;28;28;28;27;75
762;493027.8131;7660314.207;22;71;21;27;85
763;493022.696;7660365.731;27;22;22;27;21
764;493017.3507;7660414.229;43;85;82;27;27
765;493012.699;7660466.88;22;22;21;22;22
766;493008.9907;7660514.279;22;22;27;27;21
767;493005.5371;7660561.966;47;47;25;27;47
768;492997.098;7660611.321;25;25;30;25;44
769;492994.2383;7660665.46;29;80;23;85;80
770;492988.8374;7660712.843;84;80;80;84;80
771;492983.4845;7660760.905;31;29;84;80;31
772;492976.9882;7660812.936;81;22;21;22;23
773;492974.5039;7660860.448;24;24;12;23;24
774;492969.0855;7660911.258;24;23;22;24;24
